date,Q_sim_m3s,Q_obs_m3s,P_mm,ET_mm,S_total
1958-10-10,1.1071272379768986,0.918,1.0,3.252,217.4041716053103
1958-10-11,1.118928386806702,0.937,6.8,3.252,218.7069985743384
1958-10-12,1.0937923816798283,0.924,0.9,3.252,214.76252746369533
1958-10-13,1.0623353855806632,0.936,5.7,3.252,215.340951966838
1958-10-14,1.0140312176077304,0.926,1.6,3.252,212.24776637120883
1958-10-15,0.9738818918655204,0.938,5.8,3.252,213.0157038326804
1958-10-16,1.0422754025580425,3.735,22.1,3.252,227.40841075580693
1958-10-17,1.1093384790727419,0.971,1.0,3.252,222.05391927605166
1958-10-18,1.1356040131818377,0.959,1.0,3.252,217.6161136616763
1958-10-19,1.131297543906478,0.964,3.8,3.252,216.17974288070235
1958-10-20,1.0861529251525608,0.944,0.0,3.252,211.8223179728804
1958-10-21,1.050706001683326,0.972,8.0,3.252,214.55270089636895
1958-10-22,1.2210329399378121,9.853,39.69,3.252,243.73579167968458
1958-10-23,1.397247915872081,1.006,1.0,3.252,236.4831259326337
1958-10-24,1.498742574385418,0.986,0.0,3.252,229.90642394519972
1958-10-25,1.669765415892261,9.621,28.0,3.252,248.2620534881862
1958-10-26,1.8513770952574662,3.873,12.2,3.252,251.10672351419797
1958-10-27,1.965236100460784,1.084,3.2,3.252,246.49479738219233
1958-10-28,1.9833112999338727,1.072,1.0,3.252,241.05671419738388
1958-10-29,1.9102343661781824,1.05,0.0,3.252,235.69839264958898
1958-10-30,1.7718178412542458,1.033,0.5,3.252,231.4962490624297
1958-10-31,1.612706214465438,1.041,3.7,3.252,230.45859308367923
1958-11-01,1.4508309616122865,1.03,1.3,3.252,228.483960275363
1958-11-02,1.3007738294595155,1.023,2.0,3.252,227.13536120152523
1958-11-03,1.2611461043064678,4.275,19.5,3.252,239.5964680533799
1958-11-04,1.2329756861510281,1.046,0.0,3.252,233.8308074429047
1958-11-05,1.1888509282728545,1.036,1.5,3.252,230.20282040917652
1958-11-06,1.1210049328383231,1.022,1.0,3.252,226.58242321194953
1958-11-07,1.0732698272937242,1.053,8.0,3.252,229.25620251136272
1958-11-08,1.120153972143849,4.265,19.0,3.252,240.80096128682186
1958-11-09,1.1639593194306757,1.083,1.0,3.252,235.6032751732584
1958-11-10,1.2498345301567446,3.489,15.0,3.252,243.15623715584854
1958-11-11,1.2971291469870874,1.103,0.0,3.252,237.11249435418108
1958-11-12,1.4880247134063511,11.461,35.8,3.252,262.4460760364449
1958-11-13,1.6645395187225234,1.153,3.1,3.252,256.98645105348123
1958-11-14,1.9146479734960218,11.538,28.5,3.252,274.40412585150216
1958-11-15,2.130399472786278,2.215,8.0,3.252,272.6841656969728
1958-11-16,2.348875724654631,8.586,20.8,3.252,282.7622664517363
1958-11-17,2.6521505978154143,15.873,34.09,3.252,303.45147114287073
1958-11-18,2.871009986352911,1.33,3.8,3.252,296.57401721855786
1958-11-19,2.944645862055237,1.316,1.2,3.252,289.3268321222082
1958-11-20,2.8744042064880655,1.29,0.0,3.252,282.56707558845767
1958-11-21,2.693378827228152,1.264,0.0,3.252,276.94803168750394
1958-11-22,2.4414616782902874,1.239,0.0,3.252,272.1002185615782
1958-11-23,2.1694388984312067,1.214,0.0,3.252,270.05370688528274
1958-11-24,1.9095688888359923,1.19,0.0,3.252,268.57157179046317
1958-11-25,1.677264057653948,1.18,2.0,3.252,267.0854436941189
1958-11-26,1.4780914533050789,1.156,0.0,3.252,265.59654521969986
1958-11-27,1.312147075635034,1.133,0.0,3.252,264.10592575500056
1958-11-28,1.1767333115042469,1.11,0.0,3.252,262.6144871719839
1958-11-29,1.103393823477139,1.138,9.5,3.252,266.4332202565664
1958-11-30,1.0491921322880569,1.127,2.0,3.252,263.2419832583529
1958-12-01,0.9983152370532279,1.117,2.3,3.252,260.6382080694717
1958-12-02,1.3168799009633296,18.414,67.7,3.252,313.81378806470525
1958-12-03,1.6878047876937523,1.193,4.8,3.252,307.0032779385238
1958-12-04,1.9534868415418565,1.17,0.0,3.252,298.08315842314516
1958-12-05,2.0931546177408458,1.18,3.2,3.252,293.7027252141389
1958-12-06,2.1841737671257784,5.016,14.0,3.252,299.4066595257798
1958-12-07,2.181976581316676,1.197,0.0,3.252,292.72374024199354
1958-12-08,2.09115340487584,1.173,0.0,3.252,287.1321900665512
1958-12-09,1.936313303955188,1.152,0.3,3.252,282.53425490042844
1958-12-10,1.7726213807758597,1.173,5.399,3.252,282.7397650887815
1958-12-11,1.6656386292843846,2.965,12.5,3.252,288.77982554784916
1958-12-12,1.5624349104880477,1.196,0.8,3.252,284.016549362811
1958-12-13,1.4420917873094339,1.172,0.0,3.252,279.1807187917124
1958-12-14,1.3221294198475861,1.149,0.0,3.252,277.52706112508554
1958-12-15,1.21216363052158,1.132,1.0,3.252,275.96146440304597
1958-12-16,1.116257617168361,1.11,0.0,3.252,274.39632591854445
1958-12-17,1.1756959751713383,6.145,28.0,3.252,293.8657393324335
1958-12-18,1.2572458990967939,1.145,2.0,3.252,288.7188428720361
1958-12-19,1.3012112453433644,1.129,0.8,3.252,283.4887926412964
1958-12-20,1.2892793175643285,1.106,0.0,3.252,278.33542733471677
1958-12-21,1.2373135016259649,1.084,0.0,3.252,275.2718083423909
1958-12-22,1.1691414232340835,1.072,1.5,3.252,273.7015058579601
1958-12-23,1.102462797759929,1.074,4.0,3.252,272.7681537555302
1958-12-24,1.0376849925759473,1.052,0.0,3.252,270.69403351665557
1958-12-25,0.9790833051789052,1.031,0.0,3.252,269.1287342112335
1958-12-26,0.9283194240296181,1.013,0.5,3.252,267.5660037873971
1958-12-27,0.8855879003469583,0.993,0.0,3.252,266.00619755262096
1958-12-28,0.8503205605922401,0.982,2.0,3.252,264.4496259280655
1958-12-29,0.8216079185375685,0.964,0.5,3.252,262.8965609392642
1958-12-30,0.7984418350256005,0.945,0.0,3.252,261.3472417372116
1958-12-31,0.7798471997613459,0.926,0.0,3.252,259.801879295237
1959-01-01,0.76494626863685,0.908,0.0,3.252,258.26066040523915
1959-01-02,0.7529834121166916,0.889,0.0,3.252,256.72375107832625
1959-01-03,0.7433276640437019,0.872,0.0,3.252,255.1912994391434
1959-01-04,0.7354637523294106,0.854,0.0,3.252,253.6634381897838
1959-01-05,0.7289779990722884,0.837,0.0,3.252,252.1402867077928
1959-01-06,0.7235427658041987,0.82,0.0,3.252,250.62195283309916
1959-01-07,0.7189014362259378,0.804,0.0,3.252,249.10853439048367
1959-01-08,0.7148549075685364,0.788,0.0,3.252,247.60012048720398
1959-01-09,0.711249961632347,0.772,0.0,3.252,246.0967926194526
1959-01-10,0.7079695502912338,0.757,0.0,3.252,244.598625616274
1959-01-11,0.704924856008026,0.742,0.7,3.252,243.1056884452736
1959-01-12,0.7020489105307525,0.729,1.5,3.252,241.6180449008016
1959-01-13,0.6992915332789728,0.716,0.8,3.252,240.1357541921941
1959-01-14,0.6966153594466689,0.701,0.0,3.252,238.65887144701523
1959-01-15,0.6939927510516938,0.687,0.0,3.252,237.18744814200537
1959-01-16,0.6914034129514905,0.674,0.0,3.252,235.72153247253294
1959-01-17,0.6888325651236218,0.66,0.0,3.252,234.26116966973035
1959-01-18,0.6862695496387415,0.647,0.0,3.252,232.80640227311704
1959-01-19,0.7038327173789075,0.638,6.8,3.252,234.3727379184467
1959-01-20,0.7260872359283088,0.629,3.7,3.252,232.94870745258333
1959-01-21,0.7325572191963894,0.616,0.0,3.252,229.5782987521011
1959-01-22,0.7302440547907408,0.604,0.0,3.252,228.1445262629294
1959-01-23,0.72484028479352,0.595,3.5,3.252,226.92695513923164
1959-01-24,0.7166876658309546,0.583,0.0,3.252,225.33608403824016
1959-01-25,0.707588098311344,0.571,0.0,3.252,223.91875288061954
1959-01-26,0.6985357657070455,0.56,0.0,3.252,222.50704314746204
1959-01-27,0.6900318549526931,0.549,0.0,3.252,221.10101288193692
1959-01-28,0.6822853389522786,0.538,0.0,3.252,219.70071409342637
1959-01-29,0.6753392420615058,0.527,0.0,3.252,218.30619351901368
1959-01-30,0.66914858351207,0.516,0.0,3.252,216.9174932733535
1959-01-31,0.6636273075832327,0.506,0.0,3.252,215.53465140362707
1959-02-01,0.6586755627012792,0.496,0.0,3.252,214.1577023637845
1959-02-02,0.6541947302107591,0.486,0.0,3.252,212.7866774201425
1959-02-03,0.6500949783462746,0.476,0.0,3.252,211.4216049985995
1959-02-04,0.6462983877571788,0.467,0.0,3.252,210.06251098218848
1959-02-05,0.6427395640722844,0.457,0.0,3.252,208.7094189663825
1959-02-06,0.6393649196953273,0.448,0.0,3.252,207.36235047845457
1959-02-07,0.6361313364214812,0.439,0.0,3.252,206.0213251662497
1959-02-08,0.6330046223042977,0.43,0.0,3.252,204.68636096092308
1959-02-09,0.6299579903559908,0.422,0.0,3.252,203.357474217516
1959-02-10,0.6269706732881035,0.413,0.0,3.252,202.0346798366612
1959-02-11,0.6240267213503663,0.405,0.0,3.252,200.71799137021497
1959-02-12,0.6211139922401449,0.397,0.0,3.252,199.40742111319517
1959-02-13,0.6182233219045696,0.389,0.0,3.252,198.1029801840478
1959-02-14,0.6153478557005991,0.381,0.0,3.252,196.8046785949607
1959-02-15,0.6677778067539419,0.374,13.0,3.252,203.79741192802237
1959-02-16,0.7218696988406176,0.368,2.5,3.252,200.87954474004056
1959-02-17,0.7430696957219137,0.36,0.0,3.252,196.23759481623583
1959-02-18,0.788215043494893,0.357,11.0,3.252,201.47221832930097
1959-02-19,0.8082377635574163,0.35,0.0,3.252,196.59733485743288
1959-02-20,0.8004669945432917,0.343,0.0,3.252,193.7543938478159
1959-02-21,0.7789661766988248,0.336,0.0,3.252,192.4893913980763
1959-02-22,0.8146939335563865,0.338,14.3,3.252,200.61920696905543
1959-02-23,0.9258355269633937,0.354,15.5,3.252,208.6489862286013
1959-02-24,1.0117780387483437,0.347,0.0,3.252,202.6235541395252
1959-02-25,1.0408287372903715,0.34,0.0,3.252,197.57765600150356
1959-02-26,1.0179769114724042,0.333,0.0,3.252,193.88909551505637
1959-02-27,0.9703852901056641,0.327,0.0,3.252,192.64104003909733
1959-02-28,0.9334758404095543,0.332,6.7,3.252,194.3271449629772
1959-03-01,0.8853416322403718,0.327,0.5,3.252,190.7506783508501
1959-03-02,0.8352562050545387,0.322,1.0,3.252,189.51378901826408
1959-03-03,0.8110619875296741,0.33,7.3,3.252,191.72166134404546
1959-03-04,0.7789441135503682,0.323,0.0,3.252,187.7510604197596
1959-03-05,0.7452354687507324,0.317,0.0,3.252,186.52688057716855
1959-03-06,0.7132890507051185,0.313,1.0,3.252,185.30740748135884
1959-03-07,0.6846649694971301,0.306,0.0,3.252,184.09281967698337
