date,Q_sim_m3s,Q_obs_m3s,P_mm,Period
1950-05-20,3.2422490443884917,1.453,1.8,Calibration
1950-05-21,2.114079822912765,1.443,2.1,Calibration
1950-05-22,7.051296472329159,1.626,8.0,Calibration
1950-05-23,19.72678713723597,7.727,22.5,Calibration
1950-05-24,11.316199877363147,3.508,11.0,Calibration
1950-05-25,14.117960482069575,5.649,15.5,Calibration
1950-05-26,5.615500922001183,1.597,5.0,Calibration
1950-05-27,18.2250744790696,8.14,21.0,Calibration
1950-05-28,3.605644611008201,1.617,2.0,Calibration
1950-05-29,1.3424057883496616,1.587,0.3,Calibration
1950-05-30,1.5723646801734616,1.571,1.8,Calibration
1950-05-31,7.486632227869696,1.88,8.5,Calibration
1950-06-01,3.0687961478290147,1.597,3.0,Calibration
1950-06-02,4.857403422434218,1.607,5.3,Calibration
1950-06-03,10.928474510865861,3.29,12.6,Calibration
1950-06-04,2.2431928468129234,1.613,0.8,Calibration
1950-06-05,12.822220292619704,4.162,15.0,Calibration
1950-06-06,34.58012295555199,14.502,38.7,Calibration
1950-06-07,5.872524231941867,1.669,2.5,Calibration
1950-06-08,23.820304160269277,12.018,27.0,Calibration
1950-06-09,3.8148421361235005,1.675,0.8,Calibration
1950-06-10,5.4853380926225475,1.703,6.199,Calibration
1950-06-11,2.188449164214861,1.691,2.2,Calibration
1950-06-12,15.25305652088377,6.46,17.5,Calibration
1950-06-13,14.509014426626742,5.842,15.3,Calibration
1950-06-14,12.135227649907621,4.755,12.7,Calibration
1950-06-15,6.610824036984415,1.808,6.5,Calibration
1950-06-16,1.6994587701310633,1.772,0.0,Calibration
1950-06-17,3.3688775168295626,1.772,4.0,Calibration
1950-06-18,4.789661722107466,1.783,5.5,Calibration
1950-06-19,1.991194175512514,1.764,2.0,Calibration
1950-06-20,20.447390724939645,7.74,23.5,Calibration
1950-06-21,7.500591239599158,1.814,6.3,Calibration
1950-06-22,1.8875046160971298,1.789,1.201,Calibration
1950-06-23,1.5366035830647367,1.765,1.5,Calibration
1950-06-24,36.65014444948293,15.105,42.09,Calibration
1950-06-25,11.54272168813586,3.334,8.8,Calibration
1950-06-26,2.170460326239362,1.786,0.0,Calibration
1950-06-27,11.77829683460208,5.366,14.0,Calibration
1950-06-28,11.678813914661989,4.729,12.5,Calibration
1950-06-29,4.01139985068577,1.84,3.5,Calibration
1950-06-30,26.659228721872957,12.894,30.7,Calibration
1950-07-01,6.84988393006245,1.879,4.6,Calibration
1950-07-02,2.2724602410682246,1.863,2.2,Calibration
1950-07-03,2.509131463918265,1.851,2.6,Calibration
1950-07-04,1.2103577087795048,1.814,0.0,Calibration
1950-07-05,1.0280159082798017,1.777,0.0,Calibration
1950-07-06,0.9803064789805642,1.742,0.0,Calibration
1950-07-07,10.120973312882596,2.94,12.2,Calibration
1950-07-08,2.0413479018511866,1.736,0.0,Calibration
1950-07-09,1.2924240850254112,1.712,1.5,Calibration
